Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
65,25.38,Address,80.0,115.37,3,2,1,1,0,31600000.0,273901.3608390396,0.0,0,2019,3,1939.0,1,1,0
66,20.74,Other,71.0,146.51999999999995,0,2,1,1,1,55000000.0,375375.3753753753,0.0,0,2019,3,1948.0,1,1,0
67,50.0,Address,58.92857142857143,138.81,4,2,2,1,0,34500000.0,248541.1713853469,0.0,0,2019,3,1960.071428571429,1,1,0
68,0.1,Address,106.0,32.09,0,0,0,1,1,3100000.0,96603.30320972264,32.07,3100000,2019,4,1913.0,0,0,1
69,3.31,Quotient,96.0,38.94,0,0,0,0,1,14000000.0,359527.478171546,0.0,0,2019,4,1923.0,2,1,0
70,11.75,Address,94.0,54.38,1,1,1,1,1,12880000.0,236851.78374402356,0.0,0,2019,4,1925.0,1,1,0
71,8.2,Other,0.0,91.09,0,0,0,0,1,24000000.0,263475.6833900538,0.0,0,2019,4,2019.0,2,1,0
72,31.5,Address,87.0,61.78,0,0,0,0,0,14700000.0,237941.08125606988,0.0,0,2019,4,1932.0,1,1,0
73,24.0,Address,60.0,80.57,3,2,1,1,0,15700000.0,194861.611021472,0.0,0,2019,4,1959.0,1,1,0
88,3.0,Other,0.0,0.0,0,0,0,1,0,188550.0,62850.0,0.0,0,2019,4,2019.0,1,0,0
89,7.13,Address,85.0,38.62000000000001,1,1,1,1,1,10300000.0,266701.1910926981,0.0,0,2019,4,1934.0,2,1,0
90,20.57,Other,69.0,185.77,3,2,2,1,1,51000000.0,274533.0247079722,0.0,0,2019,3,1950.0,1,1,0
91,10.48,Quotient,72.0,120.55,2,1,2,1,1,23000000.0,190792.20240564086,0.0,0,2019,3,1947.0,1,1,0
92,12.55,Quotient,72.0,139.04,3,2,1,1,1,26000000.0,186996.54775604146,0.0,0,2019,3,1947.0,1,1,0
