Index,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark,land,building,garage,Address,Agriculture,Other_x,Others,Quotient,work,For business,For commercial use,For work,Parking space,Resident,Residential business,See license_x,See other registration items_x,industrial use,Brickwork,Civil engineering,Earthen masonry,Earthwork,Not Applicable_x,Prestressed concrete construction,Reinforced concrete construction,See license_y,See other registration items_y,Steel reinforced concrete construction,Stone building,Strengthen brickwork,Wall type reinforced concrete construction,Wooden,Ground floor,Lifting machinery,Lifting plane,Not Applicable_y,Other_y,Ramp machinery,Ramp plane,Tower parking
9,24.7,83.0,159.28,3,2,2,1,0,25880000.0,162481.1652435962,0.0,0,2019,10,1936.0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,14.62,87.0,94.12,2,2,1,1,1,18700000.0,198682.53293667655,0.0,0,2019,10,1932.0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,18.33,61.0,86.98,0,0,0,0,1,13000000.0,149459.64589560818,0.0,0,2019,10,1958.0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,21.5,62.0,79.59,3,1,1,1,0,7830000.0,98379.19336600076,0.0,0,2019,9,1957.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
184,10.0,0.0,0.0,0,0,0,1,0,909000.0,90900.0,0.0,0,2019,10,2019.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
187,10.18,67.8,36.61,2,0,1,1,0,4900000.0,133843.21223709368,0.0,0,2019,8,1951.2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
190,7.39,100.0,40.6,1,1,1,1,1,12160000.0,299507.3891625616,0.0,0,2019,10,1919.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
192,15.0,0.0,0.0,0,0,0,1,0,7000000.0,466666.66666666674,0.0,0,2019,10,2019.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
197,43.0,58.0,130.7,0,0,0,0,0,19550000.0,149579.18898240247,0.0,0,2019,10,1961.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
292,5.39,81.5,62.14,1,1,1,1,1,7500000.0,120695.20437721275,0.0,0,2019,10,1937.5,9,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
355,9.76,108.0,47.26000000000001,1,1,1,1,1,10170000.0,215192.55184088025,0.0,0,2019,8,1911.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
356,19.56,108.0,94.7,2,2,1,1,1,19500000.0,205913.41077085532,0.0,0,2019,8,1911.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
357,9.76,108.0,47.26000000000001,1,1,1,1,1,10280000.0,217520.10156580614,0.0,0,2019,8,1911.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
358,9.76,108.0,47.26000000000001,1,1,1,1,1,10110000.0,213922.9792636479,0.0,0,2019,8,1911.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
359,9.72,108.0,95.03,1,1,1,1,1,12400000.0,130485.10996527412,47.94,2500000,2019,8,1911.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
360,9.72,108.0,47.09,1,1,1,1,1,9830000.0,208749.20365258012,0.0,0,2019,8,1911.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
361,19.32,108.0,93.55,2,2,1,1,1,19080000.0,203955.10422234095,0.0,0,2019,8,1911.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
362,7.59,108.0,36.76,1,1,1,1,1,8220000.0,223612.6224156692,0.0,0,2019,8,1911.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
364,57.0,0.0,86.68,3,2,3,1,0,14800000.0,170742.9626211352,0.0,0,2019,10,2019.0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
