Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
79,26.78,Address,95.13333333333334,130.53,4,2,2,1,1,20500000.0,157052.01869302074,0.0,0,2019,3,1923.8666666666666,1,1,0
81,21.25,Address,63.4,77.0,3,1,1,1,0,3900000.0,50649.35064935066,0.0,0,2019,3,1955.6,1,1,0
126,9414.0,Other,0.0,0.0,0,0,0,1,0,63000000.0,6692.160611854684,0.0,0,2019,2,2019.0,12,0,0
128,112.21,Address,103.0,674.0799999999998,4,2,6,1,1,135880000.0,201578.4476619986,0.0,0,2019,4,1916.0,1,1,4
129,2.62,Other,0.0,0.0,0,0,0,1,0,91854.0,35058.7786259542,0.0,0,2019,4,2019.0,1,0,0
131,3.07,Other,0.0,0.0,0,0,0,1,0,65458.0,21321.824104234533,0.0,0,2019,4,2019.0,1,0,0
132,3.07,Other,0.0,0.0,0,0,0,1,0,65458.0,21321.824104234533,0.0,0,2019,4,2019.0,1,0,0
133,47.47,Address,103.0,287.86,3,2,2,1,1,59500000.0,206697.70027096503,45.17,0,2019,4,1916.0,1,1,1
135,30.25,Address,97.0,149.51999999999995,2,2,2,1,1,18400000.0,123060.46013911185,0.0,0,2019,4,1922.0,1,1,2
210,30.2,Address,75.71428571428571,120.58,3,2,2,1,0,10000000.0,82932.4929507381,0.0,0,2019,4,1943.2857142857144,4,1,0
214,49.98,Address,103.0,301.7999999999999,3,2,2,1,1,65000000.0,215374.42014579198,55.14,0,2019,3,1916.0,1,1,2
215,34.78,Address,101.0,316.4500000000001,4,2,2,1,1,46200000.0,145994.62790330226,71.84,0,2019,3,1918.0,1,1,2
265,0.03,Quotient,84.0,40.44,0,0,0,1,1,1700000.0,42037.586547972314,0.0,1700000,2019,4,1935.0,0,0,1
272,43.08,Address,84.0,191.93,4,2,2,1,1,35700000.0,186005.31443755532,40.15,2500000,2019,3,1935.0,1,1,1
273,29.84,Address,63.4,90.39,3,2,1,1,0,14000000.0,154884.38986613564,0.0,0,2019,3,1955.6,1,1,0
275,22.24,Address,73.0,92.0,2,2,2,1,1,19650000.0,213586.95652173914,0.0,0,2019,3,1946.0,1,1,0
280,33.74,Address,98.0,224.15,4,2,2,1,1,39000000.0,173990.63127370065,77.52,5000000,2019,3,1921.0,1,1,2
321,36.17,Address,63.4,92.0,3,2,1,1,0,12000000.0,130434.78260869565,0.0,0,2019,4,1955.6,1,1,0
322,15.1,work,0.0,48.6,3,1,1,1,0,4460000.0,91769.54732510287,0.0,0,2019,4,2019.0,1,1,0
323,18.26,Quotient,79.0,137.0,2,2,2,1,1,26000000.0,189781.02189781022,0.0,0,2019,4,1940.0,1,1,0
324,30.98,Address,75.71428571428571,93.51,3,2,2,1,0,12180000.0,130253.44882900224,0.0,0,2019,3,1943.2857142857144,2,1,0
325,29.27,work,20.0,94.82,2,1,1,1,0,11389500.0,120117.0639105674,0.0,0,2019,4,1999.0,4,7,0
326,29.27,work,20.0,94.82,2,1,1,1,0,11389500.0,120117.0639105674,0.0,0,2019,4,1999.0,4,7,0
328,41.69,work,79.0,120.35,3,2,1,1,0,9800000.0,81429.16493560447,0.0,0,2019,4,1940.0,1,1,0
475,7.01,Quotient,101.0,81.98,1,2,1,1,1,20100000.0,245181.7516467431,0.0,0,2019,4,1918.0,1,1,0
480,30.0,Address,75.71428571428571,97.17,0,0,0,0,0,22700000.0,233611.1968714624,0.0,0,2019,4,1943.2857142857144,1,1,1
516,37.28,work,64.0,100.81,3,1,1,1,0,10200000.0,101180.43844856661,0.0,0,2019,3,1955.0,2,1,0
521,39.86,Address,99.0,230.74,4,2,2,1,1,38800000.0,168154.63292016988,0.0,2500000,2019,4,1920.0,1,1,1
598,35.63,Quotient,99.0,179.01,3,2,2,1,1,27780000.0,155186.861069214,41.26,0,2019,3,1920.0,1,1,1
685,41.36,Address,98.0,205.0,4,2,2,1,1,40200000.0,196097.56097560973,27.85,0,2019,4,1921.0,1,1,1
687,171.0,Address,0.0,0.0,0,0,0,1,0,26890000.0,157251.4619883041,0.0,0,2019,4,2019.0,1,0,0
691,499.99,Other,0.0,0.0,0,0,0,1,0,2200000.0,4400.088001760035,0.0,0,2019,4,2019.0,1,0,0
698,20.09,Address,87.0,120.3,2,2,2,1,0,16180000.0,134497.09060681632,0.0,0,2019,4,1932.0,1,1,0
741,26.01,Address,100.0,171.36,3,2,2,1,1,32000000.0,186741.36321195145,42.93,2500000,2019,4,1919.0,1,1,1
