district,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
10,4.0,0.0,0.0,0,0,0,1,0,1600000.0,400000.0,0.0,0,2019,4,2019.0,1,0,0
1,40.75,62.0625,109.36,4,0,4,1,0,11850000.0,108357.71762984636,0.0,0,2019,4,1956.9375,1,1,0
1,33.81,69.0,109.42,3,2,2,1,0,10000000.0,91390.97057210749,0.0,0,2019,4,1950.0,2,1,0
1,32.19,84.0,163.53,3,2,2,1,1,21000000.0,128416.8042560998,0.0,0,2019,2,1935.0,1,1,1
1,60.25,108.0,204.79,3,2,3,1,1,67203400.0,328157.62488402764,0.0,0,2019,4,1911.0,1,1,0
10,10.65,107.0,88.7,2,1,1,1,1,18250000.0,205749.71815107105,0.0,0,2019,3,1912.0,2,1,0
1,16.99,108.0,80.31,3,2,2,1,1,11100000.0,138214.41912588722,16.8,750000,2019,3,1911.0,1,1,1
10,35.75,58.0,97.41,3,2,1,1,0,15800000.0,162201.006056873,0.0,0,2019,4,1961.0,1,1,0
1,25.98,72.0,86.72999999999998,3,2,2,1,0,8000000.0,92240.28594488645,0.0,0,2019,3,1947.0,7,1,0
5,24.7,83.0,159.28,3,2,2,1,0,25880000.0,162481.1652435962,0.0,0,2019,4,1936.0,2,1,0
2,36.75,62.0,92.02,3,2,2,1,0,11000000.0,119539.23060204304,0.0,0,2019,3,1957.0,1,1,0
5,14.62,87.0,94.12,2,2,1,1,1,18700000.0,198682.53293667655,0.0,0,2019,4,1932.0,2,1,0
2,30.42,73.0,106.7,0,1,1,1,0,21000000.0,196813.49578256797,0.0,0,2019,4,1946.0,3,1,0
5,18.33,61.0,86.98,0,0,0,0,1,13000000.0,149459.64589560818,0.0,0,2019,4,1958.0,2,1,0
2,17.94,106.0,272.04999999999995,4,2,1,1,1,51200000.0,188200.69840102925,56.14,3500000,2019,3,1913.0,1,1,2
2,36.96,87.0,162.23000000000005,3,2,2,1,1,18300000.0,112802.81082413855,0.0,0,2019,4,1932.0,1,1,1
10,5.54,108.0,57.32,1,1,1,1,1,18800000.0,327983.2519190509,0.0,0,2016,3,1908.0,1,1,0
10,5.64,108.0,76.58,1,1,1,1,1,21000000.0,274223.0347349177,20.73,2000000,2019,2,1911.0,1,1,1
10,7.22,108.0,74.67,2,1,1,1,1,27000000.0,361591.0004017678,0.0,0,2019,3,1911.0,1,1,0
2,22.71,61.0,101.45,3,2,1,1,0,14000000.0,137999.01429275505,0.0,0,2019,3,1958.0,3,1,0
2,9.71,104.0,154.9,2,2,2,1,1,28000000.0,180761.78179470624,31.12,0,2019,3,1915.0,1,1,1
6,11.6,96.0,52.2,2,1,1,1,1,9960000.0,190804.5977011494,0.0,0,2019,4,1923.0,1,1,0
8,15.16,75.0,82.64,1,1,1,1,0,12080000.0,146176.18586640852,0.0,0,2019,3,1944.0,1,1,0
6,72.94,86.0,175.0,3,2,2,1,1,31680000.0,181028.57142857145,0.0,0,2019,3,1933.0,1,1,1
6,15.95,87.0,96.17,2,2,1,1,1,16800000.0,174690.651970469,19.0,0,2019,4,1932.0,1,1,1
8,47.09,89.0,155.45999999999995,2,2,2,1,1,25000000.0,160813.07088640163,0.0,0,2019,3,1930.0,1,1,1
6,5.75,0.0,0.0,0,0,0,1,0,1305000.0,226956.52173913046,0.0,0,2019,4,2019.0,1,0,0
8,1.75,97.0,80.5,0,0,0,1,1,2600000.0,32298.136645962728,0.0,2600000,2019,4,1922.0,0,0,2
8,0.87,97.0,40.24,0,0,0,1,1,1200000.0,29821.07355864811,40.24,1200000,2019,4,1922.0,0,0,1
6,23.24,73.0,89.72,3,2,2,1,0,13600000.0,151582.70173874276,0.0,0,2019,4,1946.0,1,1,0
8,28.25,61.08333333333334,91.18,2,2,1,1,0,18500000.0,202895.37179205965,0.0,0,2019,3,1957.916666666667,1,1,0
8,15.71,106.0,158.31,0,0,0,0,1,29600000.0,186974.92262017558,42.73,1000000,2019,4,1913.0,1,1,1
8,8.97,63.0,33.72,0,0,0,0,0,4030000.0,119513.64175563464,0.0,0,2019,3,1956.0,1,1,0
6,27.54,75.0,103.06,3,2,1,1,0,8500000.0,82476.22744032602,0.0,0,2019,3,1944.0,1,1,1
6,17.77,97.0,109.59,2,2,1,1,1,23680000.0,216078.10931654347,32.86,0,2019,4,1922.0,3,1,2
8,88.0,60.0,220.5,6,6,3,1,0,42700000.0,193650.79365079364,0.0,0,2019,3,1959.0,1,1,0
8,6.12,96.0,57.15000000000001,1,1,1,1,1,9600000.0,167979.0026246719,13.27,0,2019,3,1923.0,1,1,1
8,10.97,79.0,84.45,2,1,1,1,1,13500000.0,159857.90408525756,0.0,0,2019,4,1940.0,1,1,0
8,11.73,79.0,92.1,1,1,0,1,1,22600000.0,245385.45059717694,0.0,0,2019,4,1940.0,1,1,0
8,5.25,69.0,45.04,1,1,1,1,1,6800000.0,150976.90941385436,0.0,0,2019,3,1950.0,1,1,0
11,11.42,98.0,50.53,1,1,1,1,1,13300000.0,263209.9742727093,0.0,0,2019,3,1921.0,1,1,0
9,14.43,65.0,61.92,2,2,1,1,1,13000000.0,209948.32041343668,0.0,0,2019,4,1954.0,1,1,0
11,6.69,96.0,69.4,1,1,1,1,1,25800000.0,371757.9250720461,17.45,0,2019,3,1923.0,1,1,1
9,29.77,91.0,138.06,3,2,2,1,1,26200000.0,189772.56265391855,0.0,0,2019,3,1928.0,3,1,0
9,27.93,81.0,118.24,3,2,2,1,1,23200000.0,196211.0960757781,0.0,0,2019,3,1938.0,1,1,0
11,31.0,62.325,63.09,3,1,1,1,0,10480000.0,166111.9036297353,0.0,0,2019,3,1956.675,2,1,0
11,11.98,107.0,111.37,2,1,1,1,1,26800000.0,240639.31040675228,33.86,2700000,2019,4,1912.0,1,1,1
11,6.47,82.0,31.52,0,0,0,1,0,2450000.0,77728.42639593907,31.52,2450000,2019,4,1937.0,0,0,1
9,10.42,107.0,155.09,3,2,2,1,1,34660000.0,223483.13882261913,14.46,1700000,2019,3,1912.0,1,1,1
9,6.97,107.0,138.25,2,2,1,1,1,27900000.0,201808.3182640145,37.72,2700000,2019,3,1912.0,1,1,1
3,42.0,63.0,105.97,3,2,2,1,0,21500000.0,202887.60970085874,0.0,0,2019,4,1956.0,1,1,0
3,5.22,67.0,56.9,2,1,1,1,1,8500000.0,149384.88576449914,0.0,0,2019,4,1952.0,2,1,0
3,2246.29,0.0,0.0,0,0,0,1,0,135900000.0,60499.7573777206,0.0,0,2019,4,2019.0,3,0,0
7,2602.53,0.0,0.0,0,0,0,1,0,50000000.0,19212.07440452175,0.0,0,2019,4,2019.0,1,0,0
3,17.59,98.0,124.36,2,2,1,1,1,13000000.0,104535.22032807977,47.42,0,2019,4,1921.0,1,1,1
3,10.2,86.0,70.18,2,1,1,1,1,8400000.0,119692.22000569962,0.0,0,2019,4,1933.0,1,1,0
7,94.12,65.0,102.92,4,2,2,1,0,11000000.0,106879.12942090943,0.0,0,2019,4,1954.0,1,1,0
3,7.88,98.0,48.8,0,0,0,0,1,4880000.0,100000.0,0.0,0,2019,4,1921.0,1,1,0
7,33.24,71.0,114.1,3,2,2,1,0,15500000.0,135845.74934268187,0.0,0,2019,3,1948.0,1,1,0
7,215.29,0.0,0.0,0,0,0,1,0,538213.0,2499.94426122904,0.0,0,2019,4,2019.0,1,0,0
