district,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
1,40.75,Address,62.0625,109.36,4,0,4,1,0,11850000.0,108357.71762984636,0.0,0,2019,4,1956.9375,1,1,0
1,33.81,Address,69.0,109.42,3,2,2,1,0,10000000.0,91390.97057210749,0.0,0,2019,4,1950.0,2,1,0
1,32.19,Address,84.0,163.53,3,2,2,1,1,21000000.0,128416.8042560998,0.0,0,2019,2,1935.0,1,1,1
1,60.25,Address,108.0,204.79,3,2,3,1,1,67203400.0,328157.62488402764,0.0,0,2019,4,1911.0,1,1,0
1,16.99,Address,108.0,80.31,3,2,2,1,1,11100000.0,138214.41912588722,16.8,750000,2019,3,1911.0,1,1,1
10,35.75,Address,58.0,97.41,3,2,1,1,0,15800000.0,162201.006056873,0.0,0,2019,4,1961.0,1,1,0
1,25.98,Address,72.0,86.72999999999998,3,2,2,1,0,8000000.0,92240.28594488645,0.0,0,2019,3,1947.0,7,1,0
2,36.75,Address,62.0,92.02,3,2,2,1,0,11000000.0,119539.23060204304,0.0,0,2019,3,1957.0,1,1,0
2,30.42,Address,73.0,106.7,0,1,1,1,0,21000000.0,196813.49578256797,0.0,0,2019,4,1946.0,3,1,0
2,36.96,Address,87.0,162.23000000000005,3,2,2,1,1,18300000.0,112802.81082413855,0.0,0,2019,4,1932.0,1,1,1
6,11.6,Address,96.0,52.2,2,1,1,1,1,9960000.0,190804.5977011494,0.0,0,2019,4,1923.0,1,1,0
6,72.94,Address,86.0,175.0,3,2,2,1,1,31680000.0,181028.57142857145,0.0,0,2019,3,1933.0,1,1,1
6,15.95,Address,87.0,96.17,2,2,1,1,1,16800000.0,174690.651970469,19.0,0,2019,4,1932.0,1,1,1
8,47.09,Address,89.0,155.45999999999995,2,2,2,1,1,25000000.0,160813.07088640163,0.0,0,2019,3,1930.0,1,1,1
6,5.75,Address,0.0,0.0,0,0,0,1,0,1305000.0,226956.52173913046,0.0,0,2019,4,2019.0,1,0,0
6,23.24,Address,73.0,89.72,3,2,2,1,0,13600000.0,151582.70173874276,0.0,0,2019,4,1946.0,1,1,0
6,27.54,Address,75.0,103.06,3,2,1,1,0,8500000.0,82476.22744032602,0.0,0,2019,3,1944.0,1,1,1
6,17.77,Address,97.0,109.59,2,2,1,1,1,23680000.0,216078.10931654347,32.86,0,2019,4,1922.0,3,1,2
8,88.0,Address,60.0,220.5,6,6,3,1,0,42700000.0,193650.79365079364,0.0,0,2019,3,1959.0,1,1,0
8,6.12,Address,96.0,57.15000000000001,1,1,1,1,1,9600000.0,167979.0026246719,13.27,0,2019,3,1923.0,1,1,1
11,11.42,Address,98.0,50.53,1,1,1,1,1,13300000.0,263209.9742727093,0.0,0,2019,3,1921.0,1,1,0
9,14.43,Address,65.0,61.92,2,2,1,1,1,13000000.0,209948.32041343668,0.0,0,2019,4,1954.0,1,1,0
9,29.77,Address,91.0,138.06,3,2,2,1,1,26200000.0,189772.56265391855,0.0,0,2019,3,1928.0,3,1,0
