district,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
10,4.0,Quotient,0.0,0.0,0,0,0,1,0,1600000.0,400000.0,0.0,0,2019,10,2019.0,1,0,0
10,10.65,Quotient,107.0,88.7,2,1,1,1,1,18250000.0,205749.71815107105,0.0,0,2019,9,1912.0,2,1,0
5,24.7,Quotient,83.0,159.28,3,2,2,1,0,25880000.0,162481.1652435962,0.0,0,2019,10,1936.0,2,1,0
5,14.62,Quotient,87.0,94.12,2,2,1,1,1,18700000.0,198682.53293667655,0.0,0,2019,10,1932.0,2,1,0
5,18.33,Quotient,61.0,86.98,0,0,0,0,1,13000000.0,149459.64589560818,0.0,0,2019,10,1958.0,2,1,0
2,17.94,Quotient,106.0,272.04999999999995,4,2,1,1,1,51200000.0,188200.69840102925,56.14,3500000,2019,9,1913.0,1,1,2
10,5.54,Quotient,108.0,57.32,1,1,1,1,1,18800000.0,327983.2519190509,0.0,0,2016,9,1908.0,1,1,0
10,5.64,Quotient,108.0,76.58,1,1,1,1,1,21000000.0,274223.0347349177,20.73,2000000,2019,4,1911.0,1,1,1
10,7.22,Quotient,108.0,74.67,2,1,1,1,1,27000000.0,361591.0004017678,0.0,0,2019,8,1911.0,1,1,0
2,22.71,Quotient,61.0,101.45,3,2,1,1,0,14000000.0,137999.01429275505,0.0,0,2019,9,1958.0,3,1,0
2,9.71,Quotient,104.0,154.9,2,2,2,1,1,28000000.0,180761.78179470624,31.12,0,2019,9,1915.0,1,1,1
8,15.16,Quotient,75.0,82.64,1,1,1,1,0,12080000.0,146176.18586640852,0.0,0,2019,9,1944.0,1,1,0
8,1.75,Quotient,97.0,80.5,0,0,0,1,1,2600000.0,32298.136645962728,0.0,2600000,2019,10,1922.0,0,0,2
8,0.87,Quotient,97.0,40.24,0,0,0,1,1,1200000.0,29821.07355864811,40.24,1200000,2019,10,1922.0,0,0,1
8,28.25,Quotient,61.08333333333334,91.18,2,2,1,1,0,18500000.0,202895.37179205965,0.0,0,2019,9,1957.916666666667,1,1,0
8,15.71,Quotient,106.0,158.31,0,0,0,0,1,29600000.0,186974.92262017558,42.73,1000000,2019,10,1913.0,1,1,1
8,8.97,Quotient,63.0,33.72,0,0,0,0,0,4030000.0,119513.64175563464,0.0,0,2019,7,1956.0,1,1,0
8,10.97,Quotient,79.0,84.45,2,1,1,1,1,13500000.0,159857.90408525756,0.0,0,2019,10,1940.0,1,1,0
8,11.73,Quotient,79.0,92.1,1,1,0,1,1,22600000.0,245385.45059717694,0.0,0,2019,10,1940.0,1,1,0
8,5.25,Quotient,69.0,45.04,1,1,1,1,1,6800000.0,150976.90941385436,0.0,0,2019,9,1950.0,1,1,0
9,10.42,Quotient,107.0,155.09,3,2,2,1,1,34660000.0,223483.13882261913,14.46,1700000,2019,9,1912.0,1,1,1
9,6.97,Quotient,107.0,138.25,2,2,1,1,1,27900000.0,201808.3182640145,37.72,2700000,2019,8,1912.0,1,1,1
3,115.0,Quotient,75.0,107.66,2,1,3,1,0,42000000.0,390117.0351105332,0.0,0,2019,9,1944.0,2,1,0
12,3.31,Quotient,96.0,38.94,0,0,0,0,1,14000000.0,359527.478171546,0.0,0,2019,10,1923.0,2,1,0
6,20.98,Quotient,104.0,224.1,2,2,2,1,1,38800000.0,173136.99241410085,33.24,2500000,2019,7,1915.0,1,1,1
12,10.48,Quotient,72.0,120.55,2,1,2,1,1,23000000.0,190792.20240564086,0.0,0,2019,9,1947.0,1,1,0
12,12.55,Quotient,72.0,139.04,3,2,1,1,1,26000000.0,186996.54775604146,0.0,0,2019,9,1947.0,1,1,0
6,11.77,Quotient,75.0,102.52,4,2,2,1,1,25300000.0,246781.11587982837,0.0,0,2019,10,1944.0,1,1,0
8,6.37,Quotient,90.0,81.84,1,1,1,1,1,17280000.0,211143.69501466272,0.0,1500000,2019,10,1929.0,1,1,1
12,24.8,Quotient,76.0,94.94,3,2,2,1,0,18800000.0,198019.801980198,0.0,0,2019,10,1943.0,1,1,0
12,28.87,Quotient,77.0,94.15,2,2,1,1,1,22000000.0,233669.67604885818,0.0,0,2019,9,1942.0,2,1,0
7,26.88,Quotient,73.0,125.45,3,2,2,1,1,20300000.0,161817.4571542447,0.0,0,2019,10,1946.0,1,1,0
7,13.11,Quotient,108.0,61.05,1,1,1,1,1,16400000.0,268632.26863226865,8.48,1900000,2019,10,1911.0,1,1,1
9,4.03,Quotient,69.0,95.52,2,2,2,1,0,2010000.0,21042.7135678392,0.0,0,2019,10,1950.0,2,1,0
6,17.93,Quotient,92.0,70.47,0,1,2,1,1,15100000.0,214275.57826025263,13.81,0,2019,10,1927.0,1,1,1
8,4.96,Quotient,95.0,41.86,0,0,1,1,1,8150000.0,194696.607740086,0.0,0,2019,10,1924.0,1,1,0
8,5.73,Quotient,97.0,75.97,1,1,1,1,1,9850000.0,129656.44333289455,39.12,0,2019,10,1922.0,1,1,2
8,7.8,Quotient,108.0,120.81,2,2,1,1,1,35880000.0,296995.28184752923,29.77,3800000,2019,10,1911.0,1,1,1
8,20.16,Quotient,108.0,263.58,3,2,3,1,1,86360000.0,327642.4614917672,29.77,4000000,2019,10,1911.0,1,1,1
8,7.67,Quotient,108.0,91.03,2,2,1,1,1,30580000.0,335933.20883225306,0.0,0,2019,9,1911.0,1,1,0
