Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
10,36.75,Address,62.0,92.02,3,2,2,1,0,11000000.0,119539.23060204304,0.0,0,2019,3,1957.0,1,1,0
12,30.42,Address,73.0,106.7,0,1,1,1,0,21000000.0,196813.49578256797,0.0,0,2019,4,1946.0,3,1,0
14,17.94,Quotient,106.0,272.04999999999995,4,2,1,1,1,51200000.0,188200.69840102925,56.14,3500000,2019,3,1913.0,1,1,2
15,36.96,Address,87.0,162.23000000000005,3,2,2,1,1,18300000.0,112802.81082413855,0.0,0,2019,4,1932.0,1,1,1
19,22.71,Quotient,61.0,101.45,3,2,1,1,0,14000000.0,137999.01429275505,0.0,0,2019,3,1958.0,3,1,0
20,9.71,Quotient,104.0,154.9,2,2,2,1,1,28000000.0,180761.78179470624,31.12,0,2019,3,1915.0,1,1,1
75,53.48,Address,102.0,206.69,4,2,2,1,1,13000000.0,62896.12463109004,0.0,0,2014,1,1912.0,1,1,1
98,26.0,Address,66.0,78.65,1,0,1,1,0,8230000.0,104640.8137317228,0.0,0,2019,3,1953.0,1,1,0
153,0.4,Quotient,92.0,34.18,1,1,1,1,1,4900000.0,143358.68929198358,0.0,0,2019,3,1927.0,1,1,0
154,3.66,Address,100.0,33.71,0,0,0,1,1,2200000.0,65262.533372886384,33.71,2200000,2019,4,1919.0,0,0,1
155,9.68,Quotient,108.0,124.8,2,2,1,1,0,16000000.0,128205.1282051282,37.74,1950000,2019,3,1911.0,1,1,1
156,15.6,Quotient,108.0,188.49,3,2,2,1,0,24650000.0,130776.1684970025,43.59,2050000,2019,4,1911.0,1,1,1
186,5.57,Quotient,84.0,53.36,2,1,1,1,1,7200000.0,134932.53373313346,0.0,0,2019,4,1935.0,1,1,0
188,18.87,Other,0.0,0.0,0,0,0,1,0,444640.0,23563.32803391627,0.0,0,2019,4,2019.0,1,0,0
189,48.62,Address,73.0,216.46,4,3,1,1,0,22400000.0,103483.32255382057,0.0,0,2019,3,1946.0,1,1,0
191,37.05,Address,86.0,210.88,3,2,2,1,1,21580000.0,102333.0804248862,0.0,0,2019,4,1933.0,2,1,0
193,48.01,Address,102.0,185.47,3,2,2,1,1,25850000.0,139375.640265272,0.0,0,2019,4,1917.0,1,1,1
194,45.33,Quotient,0.0,99.24,6,2,3,1,0,15000000.0,151148.73035066505,0.0,0,2019,4,2019.0,1,1,0
195,12.8,Quotient,65.0,52.98,2,1,1,1,0,7200000.0,135900.33975084938,0.0,0,2019,3,1954.0,2,1,0
259,22.05,Address,66.0,101.05,0,0,0,0,0,10420000.0,103117.26867887184,0.0,0,2019,3,1953.0,2,1,0
260,5.62,Address,0.0,0.0,0,0,0,1,0,800000.0,142348.75444839854,0.0,0,2019,3,2019.0,2,0,0
261,37.86,Address,100.0,177.47,3,2,2,1,1,25770111.0,145208.26618583422,0.0,0,2019,4,1919.0,2,1,1
