Index,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark,land,building,garage,Address,Agriculture,Other_x,Others,Quotient,work,For business,For commercial use,For work,Parking space,Resident,Residential business,See license_x,See other registration items_x,industrial use,Brickwork,Civil engineering,Earthen masonry,Earthwork,Not Applicable_x,Prestressed concrete construction,Reinforced concrete construction,See license_y,See other registration items_y,Steel reinforced concrete construction,Stone building,Strengthen brickwork,Wall type reinforced concrete construction,Wooden,Ground floor,Lifting machinery,Lifting plane,Not Applicable_y,Other_y,Ramp machinery,Ramp plane,Tower parking
1,40.75,62.0625,109.36,4,0,4,1,0,11850000.0,108357.71762984636,0.0,0,2019,10,1956.9375,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,33.81,69.0,109.42,3,2,2,1,0,10000000.0,91390.97057210749,0.0,0,2019,10,1950.0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,32.19,84.0,163.53,3,2,2,1,1,21000000.0,128416.8042560998,0.0,0,2019,4,1935.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,60.25,108.0,204.79,3,2,3,1,1,67203400.0,328157.62488402764,0.0,0,2019,10,1911.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,16.99,108.0,80.31,3,2,2,1,1,11100000.0,138214.41912588722,16.8,750000,2019,7,1911.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,25.98,72.0,86.72999999999998,3,2,2,1,0,8000000.0,92240.28594488645,0.0,0,2019,9,1947.0,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74,36.33,78.0,109.0,3,2,2,1,1,12800000.0,117431.19266055046,0.0,0,2019,9,1941.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,86.54,98.0,236.26,3,2,2,1,1,34000000.0,143909.25251841193,35.87,2000000,2019,5,1921.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,18.93,86.0,78.03999999999998,2,2,1,1,1,11800000.0,151204.5105074321,0.0,0,2019,8,1933.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,20.48,96.0,109.3,2,2,1,1,1,18000000.0,164684.3549862763,7.66,1500000,2019,9,1923.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
