Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
40,11.42,Address,98.0,50.53,1,1,1,1,1,13300000.0,263209.9742727093,0.0,0,2019,3,1921.0,1,1,0
42,6.69,Other,96.0,69.4,1,1,1,1,1,25800000.0,371757.9250720461,17.45,0,2019,3,1923.0,1,1,1
45,31.0,Address,62.325,63.09,3,1,1,1,0,10480000.0,166111.9036297353,0.0,0,2019,3,1956.675,2,1,0
46,11.98,Address,107.0,111.37,2,1,1,1,1,26800000.0,240639.31040675228,33.86,2700000,2019,4,1912.0,1,1,1
47,6.47,Address,82.0,31.52,0,0,0,1,0,2450000.0,77728.42639593907,31.52,2450000,2019,4,1937.0,0,0,1
82,25.3,Address,76.0,131.75,3,2,2,1,0,23850000.0,181024.66793168877,0.0,0,2019,4,1943.0,1,1,0
83,18.0,Other,0.0,0.0,0,0,0,1,0,820800.0,45600.0,0.0,0,2019,4,2019.0,1,0,0
136,31.25,Address,66.0,88.49,3,2,2,1,0,19500000.0,220363.88292462425,0.0,0,2019,4,1953.0,1,1,0
137,1.87,Other,0.0,0.0,0,0,0,1,0,8357.0,4468.983957219251,0.0,0,2019,4,2019.0,1,0,0
138,18.25,Address,62.325,45.84,1,1,1,1,0,7000000.0,152705.06108202445,0.0,0,2019,4,1956.675,1,1,0
209,0.45,Quotient,94.0,38.68,0,0,0,1,1,2900000.0,74974.14684591521,0.0,2900000,2019,4,1925.0,0,0,1
211,24.75,Address,67.0,82.58,3,2,2,1,0,11000000.0,133204.1656575442,0.0,0,2019,4,1952.0,1,1,0
213,25.99,Address,76.0,108.39,3,2,2,1,0,12800000.0,118092.07491466006,0.0,0,2019,3,1943.0,2,1,0
220,7.76,Address,85.0,32.84,1,1,1,1,1,10800000.0,328867.2350791718,0.0,0,2019,4,1934.0,2,1,0
271,322.0,Address,74.5,327.06,7,3,5,1,1,68000000.0,207912.92117654253,0.0,0,2019,3,1944.5,1,1,1
274,19.83,Address,62.325,70.06,4,0,4,1,0,13000000.0,185555.2383671139,0.0,0,2019,4,1956.675,1,1,0
278,16.2,Quotient,91.0,165.16,4,1,0,1,1,36500000.0,220997.82029547106,0.0,0,2019,4,1928.0,1,1,0
279,27.75,Address,60.0,74.64,1,2,1,1,0,30000000.0,401929.2604501608,0.0,0,2019,3,1959.0,2,1,0
281,13.77,Address,86.0,65.75,4,2,2,1,1,11000000.0,167300.38022813687,0.0,0,2019,3,1933.0,1,1,0
316,36.3,Address,107.0,451.26,0,0,0,0,0,231880000.0,513850.1085848513,112.68,0,2019,3,1912.0,2,1,3
317,18.71,Quotient,86.0,158.02,2,2,2,1,0,32500000.0,205670.1683331224,42.23,0,2019,4,1933.0,2,1,1
318,13.56,Quotient,70.0,136.12,3,2,2,1,0,26500000.0,194681.16367910663,0.0,0,2019,3,1949.0,1,1,0
320,2.92,Address,0.0,0.0,0,0,0,1,0,1425000.0,488013.698630137,0.0,0,2018,4,2018.0,1,0,0
327,35.0,Address,64.0,105.45,3,2,2,1,0,12000000.0,113798.00853485064,0.0,0,2019,4,1955.0,1,1,0
329,0.38,Other,81.0,38.92,0,0,0,1,1,2500000.0,64234.32682425487,0.0,2500000,2019,3,1938.0,0,0,1
330,15.0,Quotient,70.4,44.06,1,2,1,1,0,9320000.0,211529.73218338628,0.0,0,2019,3,1948.6,1,1,0
476,34.33,Other,0.0,0.0,0,0,0,1,0,3280000.0,95543.25662685698,0.0,0,2019,3,2019.0,1,0,0
484,9.96,Address,98.0,44.08,1,1,1,1,1,11997000.0,272164.24682395643,0.0,0,2019,3,1921.0,1,1,0
517,7.22,Other,95.0,46.34,1,1,1,1,1,12380000.0,267155.8049201554,0.0,0,2019,4,1924.0,1,1,0
518,5.63,Quotient,94.0,84.43,3,2,2,1,1,19000000.0,225038.49342650714,40.9,3000000,2019,4,1925.0,3,1,1
520,29.6,Address,68.0,103.02,3,2,2,1,0,20500000.0,198990.48728402253,0.0,0,2019,3,1951.0,1,1,0
575,154.29,Address,100.0,719.66,4,2,5,1,1,410218000.0,570016.3966317428,89.66,10000000,2019,4,1919.0,1,1,2
576,13.4,Address,72.0,62.19,2,1,1,1,0,9500000.0,152757.67808329314,0.0,0,2019,4,1947.0,1,1,0
577,6.3,Quotient,95.0,54.38,1,2,1,1,1,16550000.0,304339.8308201545,0.0,0,2019,4,1924.0,2,1,0
579,35.58,Address,59.0,92.59,2,2,1,1,0,16000000.0,172804.83853547898,0.0,0,2019,4,1960.0,1,1,0
580,54.4,Address,102.0,375.8,0,0,0,0,1,69900000.0,186003.1931878659,128.19,4500000,2019,4,1917.0,1,1,3
581,34.5,Address,62.325,98.41,3,2,2,1,0,8100000.0,82308.70846458692,0.0,0,2019,3,1956.675,1,1,0
586,26.8,Address,67.0,91.4,3,2,1,1,0,12000000.0,131291.02844638948,0.0,0,2019,4,1952.0,1,1,0
587,5.63,Quotient,94.0,40.06,1,1,1,1,1,14400000.0,359460.8087868197,0.0,0,2019,4,1925.0,3,1,0
588,32.5,Address,59.0,88.77,3,2,1,1,0,11000000.0,123915.73729863693,0.0,0,2019,4,1960.0,1,1,0
589,9.1,Quotient,97.0,45.09,0,0,0,0,1,9200000.0,204036.37170104234,0.0,0,2019,4,1922.0,2,1,0
590,51.76,Address,82.0,297.39,3,2,2,1,0,12000000.0,40351.05417129023,31.52,0,2019,4,1937.0,1,2,1
591,37.04,Address,69.0,123.93,3,2,2,1,1,23750000.0,191640.4421851045,0.0,0,2019,4,1950.0,1,1,0
594,183.0,Other,0.0,0.0,0,0,0,1,0,9154113.0,50022.47540983607,0.0,0,2019,4,2019.0,3,0,0
595,26.15,Address,106.0,190.7,3,2,2,1,1,33600000.0,176192.97325642372,41.16,2550000,2019,4,1913.0,4,1,1
597,48.5,Address,62.325,105.28,3,2,1,1,0,18000000.0,170972.6443768997,0.0,0,2019,4,1956.675,1,1,0
684,21.09,Address,65.0,84.66,3,2,1,1,0,11500000.0,135837.46751712734,0.0,0,2019,4,1954.0,1,1,0
689,33.75,work,0.0,81.0,2,2,1,1,0,15200000.0,187654.32098765433,0.0,0,2019,4,2019.0,2,1,0
693,3.94,Quotient,97.0,42.99,1,1,1,1,1,12200000.0,283786.92719237035,0.0,0,2019,4,1922.0,1,1,0
694,27.0,Address,0.0,91.55,1,1,1,1,0,19150000.0,209175.3140360459,0.0,0,2019,4,2019.0,3,1,0
