Index,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark,land,building,garage,Address,Agriculture,Other_x,Others,Quotient,work,For business,For commercial use,For work,Parking space,Resident,Residential business,See license_x,See other registration items_x,industrial use,Brickwork,Civil engineering,Earthen masonry,Earthwork,Not Applicable_x,Prestressed concrete construction,Reinforced concrete construction,See license_y,See other registration items_y,Steel reinforced concrete construction,Stone building,Strengthen brickwork,Wall type reinforced concrete construction,Wooden,Ground floor,Lifting machinery,Lifting plane,Not Applicable_y,Other_y,Ramp machinery,Ramp plane,Tower parking
22,15.16,75.0,82.64,1,1,1,1,0,12080000.0,146176.18586640852,0.0,0,2019,9,1944.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,47.09,89.0,155.45999999999995,2,2,2,1,1,25000000.0,160813.07088640163,0.0,0,2019,8,1930.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,1.75,97.0,80.5,0,0,0,1,1,2600000.0,32298.136645962728,0.0,2600000,2019,10,1922.0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,0.87,97.0,40.24,0,0,0,1,1,1200000.0,29821.07355864811,40.24,1200000,2019,10,1922.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,28.25,61.08333333333334,91.18,2,2,1,1,0,18500000.0,202895.37179205965,0.0,0,2019,9,1957.916666666667,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
31,15.71,106.0,158.31,0,0,0,0,1,29600000.0,186974.92262017558,42.73,1000000,2019,10,1913.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,8.97,63.0,33.72,0,0,0,0,0,4030000.0,119513.64175563464,0.0,0,2019,7,1956.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,88.0,60.0,220.5,6,6,3,1,0,42700000.0,193650.79365079364,0.0,0,2019,9,1959.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
36,6.12,96.0,57.15000000000001,1,1,1,1,1,9600000.0,167979.0026246719,13.27,0,2019,9,1923.0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,10.97,79.0,84.45,2,1,1,1,1,13500000.0,159857.90408525756,0.0,0,2019,10,1940.0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,11.73,79.0,92.1,1,1,0,1,1,22600000.0,245385.45059717694,0.0,0,2019,10,1940.0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,5.25,69.0,45.04,1,1,1,1,1,6800000.0,150976.90941385436,0.0,0,2019,9,1950.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,47.09,89.0,155.26999999999995,3,2,2,1,0,24100000.0,155213.49906614286,0.0,0,2019,10,1930.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95,0.18,93.0,15.53,0,0,0,1,1,1000000.0,64391.5003219575,15.38,1000000,2019,11,1926.0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
96,4.0,0.0,0.0,0,0,0,1,0,214200.0,53550.0,0.0,0,2019,10,2019.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,6.37,90.0,81.84,1,1,1,1,1,17280000.0,211143.69501466272,0.0,1500000,2019,10,1929.0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,19.25,0.0,0.0,0,0,0,1,0,1056440.0,54880.0,0.0,0,2019,10,2019.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
142,4.96,95.0,41.86,0,0,1,1,1,8150000.0,194696.607740086,0.0,0,2019,10,1924.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
144,5.73,97.0,75.97,1,1,1,1,1,9850000.0,129656.44333289455,39.12,0,2019,10,1922.0,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,7.8,108.0,120.81,2,2,1,1,1,35880000.0,296995.28184752923,29.77,3800000,2019,10,1911.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
146,20.16,108.0,263.58,3,2,3,1,1,86360000.0,327642.4614917672,29.77,4000000,2019,10,1911.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
147,7.67,108.0,91.03,2,2,1,1,1,30580000.0,335933.20883225306,0.0,0,2019,9,1911.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
