Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
0,4.0,Quotient,0.0,0.0,0,0,0,1,0,1600000.0,400000.0,0.0,0,2019,4,2019.0,1,0,0
5,10.65,Quotient,107.0,88.7,2,1,1,1,1,18250000.0,205749.71815107105,0.0,0,2019,3,1912.0,2,1,0
7,35.75,Address,58.0,97.41,3,2,1,1,0,15800000.0,162201.006056873,0.0,0,2019,4,1961.0,1,1,0
16,5.54,Quotient,108.0,57.32,1,1,1,1,1,18800000.0,327983.2519190509,0.0,0,2016,3,1908.0,1,1,0
17,5.64,Quotient,108.0,76.58,1,1,1,1,1,21000000.0,274223.0347349177,20.73,2000000,2019,2,1911.0,1,1,1
18,7.22,Quotient,108.0,74.67,2,1,1,1,1,27000000.0,361591.0004017678,0.0,0,2019,3,1911.0,1,1,0
104,6.36,Address,81.0,32.0,0,1,1,1,1,5920000.0,185000.0,0.0,0,2019,3,1938.0,1,1,0
152,3.09,Quotient,64.0,24.83,0,1,1,1,1,4980000.0,200563.83407168745,0.0,0,2019,4,1955.0,9,1,0
157,45.25,Address,61.72727272727273,137.31,3,2,2,1,0,30880000.0,224892.57883621004,0.0,0,2019,4,1957.2727272727273,1,1,0
161,9.69,Quotient,99.0,81.34,1,1,1,1,1,14400000.0,177034.6692894025,0.0,0,2019,3,1920.0,1,1,1
163,8.24,Quotient,108.0,95.77,2,1,1,1,1,28580000.0,298423.3058369009,13.93,2300000,2019,4,1911.0,2,1,1
164,8.24,Quotient,108.0,95.77,2,1,1,1,1,28620000.0,298840.97316487425,13.93,2300000,2019,4,1911.0,2,1,1
165,5.72,Quotient,108.0,57.86,1,1,1,1,1,17300000.0,298997.58036640164,0.0,0,2019,4,1911.0,2,1,0
166,5.94,Quotient,108.0,60.65,2,1,1,1,1,18280000.0,301401.483924155,0.0,0,2019,4,1911.0,2,1,0
167,6.89,Quotient,108.0,69.9,2,1,1,1,1,19800000.0,283261.8025751073,0.0,0,2019,4,1911.0,2,1,0
