Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
53,2602.53,Other,0.0,0.0,0,0,0,1,0,50000000.0,19212.07440452175,0.0,0,2019,4,2019.0,1,0,0
56,94.12,Address,65.0,102.92,4,2,2,1,0,11000000.0,106879.12942090943,0.0,0,2019,4,1954.0,1,1,0
58,33.24,Address,71.0,114.1,3,2,2,1,0,15500000.0,135845.74934268187,0.0,0,2019,3,1948.0,1,1,0
59,215.29,Other,0.0,0.0,0,0,0,1,0,538213.0,2499.94426122904,0.0,0,2019,4,2019.0,1,0,0
60,30.75,Address,64.98,83.48,2,1,1,1,0,17800000.0,213224.72448490656,0.0,0,2019,4,1954.02,1,1,0
85,6.29,work,96.0,41.69,0,1,1,1,1,7440000.0,178460.06236507554,0.0,0,2019,3,1923.0,1,1,0
87,16.36,Other,67.0,106.65,1,2,1,1,1,16200000.0,151898.73417721517,0.0,0,2019,4,1952.0,2,1,0
111,2.67,Other,0.0,0.0,0,0,0,1,0,129133.0,48364.41947565544,0.0,0,2019,4,2019.0,1,0,0
112,64.19,Other,0.0,0.0,0,0,0,1,0,3102643.0,48335.30144882381,0.0,0,2019,4,2019.0,1,0,0
114,25.19,Address,72.0,101.9,4,2,2,1,0,13500000.0,132482.8263002944,0.0,0,2019,3,1947.0,1,1,0
115,26.0,Other,59.0,77.0,0,0,0,0,0,6700000.0,87012.98701298701,0.0,0,2019,4,1960.0,1,1,0
116,16.07,Address,107.0,141.60000000000005,3,2,2,1,1,29000000.0,204802.25988700558,37.8,2000000,2019,3,1912.0,1,1,1
117,26.88,Quotient,73.0,125.45,3,2,2,1,1,20300000.0,161817.4571542447,0.0,0,2019,4,1946.0,1,1,0
118,13.11,Quotient,108.0,61.05,1,1,1,1,1,16400000.0,268632.26863226865,8.48,1900000,2019,4,1911.0,1,1,1
119,16.15,Other,0.0,0.0,0,0,0,1,0,879300.0,54445.82043343654,0.0,0,2019,4,2019.0,1,0,0
122,31.88,Address,97.0,179.38,3,2,2,1,1,44500000.0,248076.7086631732,0.0,0,2019,3,1922.0,1,1,1
123,66.17,Other,0.0,0.0,0,0,0,1,0,3201600.0,48384.46425872752,0.0,0,2019,4,2019.0,1,0,0
124,25.75,Address,65.0,78.67,3,2,1,1,0,8500000.0,108046.26922588026,0.0,0,2019,4,1954.0,1,1,0
224,33.03,Address,71.0,107.69,3,2,2,1,0,22880000.0,212461.69560776305,0.0,0,2019,4,1948.0,1,1,0
225,30.0,Address,67.0,81.66,3,2,1,1,0,8680000.0,106294.39137888806,0.0,0,2019,4,1952.0,1,1,0
226,1008.8,Other,0.0,0.0,0,0,0,1,0,17500000.0,17347.343378271213,0.0,0,2019,4,2019.0,1,0,0
228,45.43,Address,66.0,114.74,3,2,2,1,0,15800000.0,137702.63203765036,0.0,0,2019,4,1953.0,2,1,0
229,22.5,Address,62.0,47.99,3,1,1,1,0,9000000.0,187539.0706397166,0.0,0,2019,3,1957.0,1,1,0
230,29.4,Address,67.0,78.05,3,2,1,1,0,10000000.0,128122.99807815505,0.0,0,2019,3,1952.0,1,1,0
231,1749.48,Other,0.0,0.0,0,0,0,1,0,33916800.0,19386.789217367445,0.0,0,2019,3,2019.0,2,0,0
232,614.68,Other,0.0,0.0,0,0,0,1,0,11916600.0,19386.67274028763,0.0,0,2019,3,2019.0,2,0,0
235,833.4,Other,0.0,0.0,0,0,0,1,0,40500000.0,48596.11231101512,0.0,0,2019,4,2019.0,8,0,0
236,472.83,Other,0.0,0.0,0,0,0,1,0,9166600.0,19386.67174248673,0.0,0,2019,3,2019.0,2,0,0
237,14.3,Address,0.0,35.53,0,0,0,0,1,6900000.0,194202.08274697443,0.0,0,2019,4,2019.0,1,1,0
269,27.94,Address,71.1388888888889,117.81,3,2,2,1,0,13700000.0,116288.9398183516,0.0,0,2019,3,1947.861111111111,1,1,0
270,20.09,Address,70.0,92.21,3,2,2,1,0,14680000.0,159201.82192820733,0.0,0,2019,3,1949.0,1,1,0
306,20.38,Quotient,105.0,174.38,3,2,2,1,1,32600000.0,186948.0445005161,31.72,2200000,2019,4,1914.0,1,1,1
